name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1057;0;1081;3149;1903;3149;1879;0
header;278;179;278;211;1877;211;1877;179
A;1514;64;1514;65;1516;65;1516;64
A;1383;118;1383;123;1387;123;1387;118
A;1078;243;1078;270;1101;270;1101;243
A;1815;294;1815;300;1820;300;1820;294
A;1170;478;1170;484;1176;484;1176;478
A;1857;704;1857;709;1862;709;1862;704
A;1300;797;1300;804;1306;804;1306;797
A;1834;856;1834;865;1839;865;1839;856
B;1085;918;1085;945;1104;945;1104;918
A;1196;936;1196;943;1203;943;1203;936
A;1253;1062;1253;1062;1254;1062;1254;1062
B;1694;1433;1694;1458;1708;1458;1708;1433
A;1671;1442;1671;1448;1677;1448;1677;1442
B;1869;1568;1869;1593;1891;1593;1891;1568
C;1085;1583;1085;1613;1107;1613;1107;1583
D;1090;2228;1090;2258;1115;2258;1115;2228
A;1712;2652;1712;2670;1726;2670;1726;2652
C;1305;2794;1305;2813;1319;2813;1319;2794
A;1252;2943;1252;2945;1255;2945;1255;2943
A;1183;2989;1183;2990;1184;2990;1184;2989
