name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1163;0;1140;3151;1928;3151;1928;0
header;227;157;227;2131;1928;2131;1928;157
A;1398;139;1398;140;1399;140;1399;139
A;1757;2236;1757;2240;1761;2240;1761;2236
B;1375;2445;1375;2461;1388;2461;1388;2445
A;1247;2475;1247;2479;1252;2479;1252;2475
A;1247;2487;1247;2491;1251;2491;1251;2487
B;1500;2538;1500;2554;1512;2554;1512;2538
A;1194;2810;1194;2833;1199;2833;1199;2810
A;1217;2858;1217;2862;1221;2862;1221;2858
A;1896;3064;1896;3064;1896;3064;1896;3064
